start time,end time,job ID,task index,machine ID,CPU rate,canonical memory usage,assigned memory usage,unmapped page cache,total page cache,maximum memory usage,disk I/O time,local disk space usage,maximum CPU rate,maximum disk IO time,cycles per instruction,memory accesses per instruction,sample portion,aggregation type,sampled CPU usage
249993000000.0,250018000000.0,6280685099.0,45.0,672222.0,0.004028,0.0009165,0.005821,0.0005159,0.0007849,0.003242,0.01852,0.0,0.04382,0.06213,,,0.0,0.0,0.003555
250018000000.0,250048000000.0,6280685099.0,45.0,672222.0,0.0003481000000000001,0.0,0.0,0.0,0.0,0.0,0.001678,2.861e-06,0.01044,0.02856,1.5419999999999998,0.00173,0.0,0.0,0.0
250048000000.0,250049000000.0,6280685099.0,45.0,672222.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861e-06,0.0,0.0,1.5419999999999998,0.00173,0.0,0.0,0.0
250066000000.0,250070000000.0,6280685099.0,45.0,6648753.0,0.0162,0.000371,0.005714,0.000351,0.000351,0.0005912999999999999,0.007843000000000001,0.0,0.05981,0.01999,,,0.0,0.0,0.001839
250070000000.0,250083000000.0,6280685099.0,45.0,6648753.0,0.0009108,0.0,0.0,0.0,0.0,0.0,0.005714,2.861e-06,0.01184,0.025730000000000003,,,0.0,0.0,0.0
250083000000.0,250084000000.0,6280685099.0,45.0,6648753.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861e-06,0.0,0.0,,,0.0,0.0,0.0
250104000000.0,250140000000.0,6280685099.0,45.0,3366934122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,0.0,0.0,0.0
250140000000.0,250142000000.0,6280685099.0,45.0,3366934122.0,0.01263,0.0004396,0.005699,0.0001307,0.0001307,0.0004396,0.008209000000000001,0.0,0.05103,0.00914,,,0.0,0.0,0.05103
250142000000.0,250158000000.0,6280685099.0,45.0,3366934122.0,0.00288,0.0,0.0,0.0,0.0,0.0,0.005539,2.861e-06,0.04608,0.01999,1.26,0.0007574,0.0,0.0,0.0
250158000000.0,250159000000.0,6280685099.0,45.0,3366934122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861e-06,0.0,0.0,1.26,0.0007574,0.0,0.0,0.0
250179000000.0,250181000000.0,6280685099.0,45.0,3366934122.0,0.01222,0.0004539,0.005790999999999999,0.0001001,0.0001097,0.0004539,0.003967,0.0,0.03937,0.0075,,,0.0,0.0,0.03937
250181000000.0,250198000000.0,6280685099.0,45.0,3366934122.0,0.002686,0.0,0.0,0.0,0.0,0.0,0.003468,3.815e-06,0.04565,0.008636,,,0.0,0.0,0.0
250198000000.0,250199000000.0,6280685099.0,45.0,3366934122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.815e-06,0.0,0.0,,,0.0,0.0,0.0
250199000000.0,250200000000.0,6280685099.0,45.0,3366934122.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.815e-06,0.0,,,,0.0,0.0,0.0
250215000000.0,250229000000.0,6280685099.0,45.0,6564557.0,0.004532,0.0009241,0.005623,0.0005636,0.0007763,0.001905,0.02408,0.0,0.03656,0.05945,,,0.0,0.0,0.002522
250229000000.0,250247000000.0,6280685099.0,45.0,6564557.0,0.001898,0.0,0.0,0.0,0.0,0.0,0.004181,3.815e-06,0.03418,0.025730000000000003,,,0.0,0.0,0.0
250247000000.0,250248000000.0,6280685099.0,45.0,6564557.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.815e-06,0.0,0.0,,,0.0,0.0,0.0
250266000000.0,250294000000.0,6280685099.0,45.0,4304726804.0,0.00293,0.002121,0.005638000000000001,0.0006504,0.001045,0.003544,0.005142,9.537e-07,0.07031,0.01535,,,0.0,0.0,0.0
250294000000.0,250312000000.0,6280685099.0,45.0,4304726804.0,8.202e-05,0.0,0.0,0.0,0.0,0.0,0.0,2.861e-06,0.001478,0.0,,,0.0,0.0,0.0
250312000000.0,250313000000.0,6280685099.0,45.0,4304726804.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861e-06,0.0,0.0,,,0.0,0.0,0.0
250329000000.0,250355000000.0,6280685099.0,45.0,2856718145.0,0.003643,0.001749,0.005554,0.0007467000000000001,0.00119,0.003635,0.016630000000000002,0.0,0.02625,0.03122,1.47,0.001844,0.0,0.0,0.0002766
250355000000.0,250374000000.0,6280685099.0,45.0,2856718145.0,0.0004339,0.0,0.0,0.0,0.0,0.0,0.002373,2.861e-06,0.008255,0.01721,1.47,0.001844,0.0,0.0,0.0
250374000000.0,250375000000.0,6280685099.0,45.0,2856718145.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861e-06,0.0,0.0,1.47,0.001844,0.0,0.0,0.0
250392000000.0,250414000000.0,6280685099.0,45.0,2856718145.0,0.004295,0.001791,0.005547,0.0008535,0.001265,0.003792,0.02029,0.0,0.02194,0.04895,1.421,0.002415,0.0,0.0,8.869e-05
250414000000.0,250430000000.0,6280685099.0,45.0,2856718145.0,0.0006065,0.0,0.0,0.0,0.0,0.0,0.002968,2.861e-06,0.009705,0.01999,1.421,0.002415,0.0,0.0,0.0
250430000000.0,250431000000.0,6280685099.0,45.0,2856718145.0,0.0,0.0,0.0,0.0,0.0,0.0,7.153e-05,2.861e-06,0.0,7.153e-05,1.421,0.002415,0.0,0.0,0.0
250449000000.0,250455000000.0,6280685099.0,45.0,227456201.0,0.01324,0.00136,0.005814,0.000598,0.0008192,0.002125,0.02475,9.537e-07,0.05139,0.05005,,,0.0,0.0,0.001539
250455000000.0,250490000000.0,6280685099.0,45.0,227456201.0,0.00017830000000000002,0.0,0.0,0.0,0.0,0.0,0.0006161000000000001,2.861e-06,0.006256,0.01215,,,0.0,0.0,0.0
250490000000.0,250491000000.0,6280685099.0,45.0,227456201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861e-06,0.0,0.0,,,0.0,0.0,0.0
250491000000.0,250500000000.0,6280685099.0,45.0,227456201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861e-06,0.0,,,,0.0,0.0,0.0
250512000000.0,250524000000.0,6280685099.0,45.0,682375.0,0.006737000000000001,0.001131,0.005783,0.0005769999999999999,0.0008726000000000001,0.001995,0.03772,0.0,0.03058,0.08313,,,0.0,0.0,0.018009999999999998
250524000000.0,250543000000.0,6280685099.0,45.0,682375.0,0.0009108,0.000186,0.0,0.00017830000000000002,0.00017830000000000002,0.00354,0.002762,2.861e-06,0.0173,0.03436,1.519,0.0012369999999999998,0.0,0.0,0.0
250543000000.0,250544000000.0,6280685099.0,45.0,682375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861e-06,0.0,0.0,1.519,0.0012369999999999998,0.0,0.0,0.0
250564000000.0,250577000000.0,6280685099.0,45.0,682375.0,0.006371,0.001114,0.005653,0.0005941,0.0008916999999999998,0.002254,0.03607,0.0,0.04956,0.08044,,,0.0,0.0,0.004562
250577000000.0,250608000000.0,6280685099.0,45.0,682375.0,0.0003633,0.0,0.0,0.0,0.0,0.0,0.001871,2.861e-06,0.01126,0.03937,,,0.0,0.0,0.0
250608000000.0,250609000000.0,6280685099.0,45.0,682375.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861e-06,0.0,0.0,,,0.0,0.0,0.0
250626000000.0,250636000000.0,6280685099.0,45.0,4489088773.0,0.008011,0.0009441,0.005821,0.0004425,0.0005827000000000001,0.002148,0.01617,0.0,0.02814,0.03162,,,0.0,0.0,0.003609
250636000000.0,250665000000.0,6280685099.0,45.0,4489088773.0,0.0002718,0.0,0.0,0.0,0.0,0.0,0.002266,2.861e-06,0.007889,0.01715,,,0.0,0.0,0.0
250665000000.0,250666000000.0,6280685099.0,45.0,4489088773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861e-06,0.0,0.0,,,0.0,0.0,0.0
250682000000.0,250702000000.0,6280685099.0,45.0,4489088773.0,0.00457,0.001579,0.005806,0.0008163000000000001,0.001207,0.003681,0.02472,0.0,0.06006,0.0481,,,0.0,0.0,0.002228
250702000000.0,250716000000.0,6280685099.0,45.0,4489088773.0,0.0004034,0.0,0.0,0.0,0.0,0.0,0.00473,2.861e-06,0.005646,0.01428,,,0.0,0.0,0.0
250716000000.0,250717000000.0,6280685099.0,45.0,4489088773.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.861e-06,0.0,0.0,,,0.0,0.0,0.0
